snlgroup_id 1,snlgroup_id 2,snl_id 1,snl_id 2,shared icsd_id,matches
18827,1297,23932,404192,42493,True/True/True/True
93700,1296,195575,7726,29312,False
152112,151977,340911,339544,35486,False
96605,87373,204138,174638,27566,False
151977,87054,339544,170703,35486,False
151065,151064,335130,335129,38127,False
151678,93588,337206,195307,29023,False
151064,151059,335129,335121,38127,False
151076,150737,335152,334566,202544,False
151076,150737,335152,334599,202544,False
151059,151037,335121,335076,38127,False
150788,150771,334633,334607,24709,False
87054,86271,170703,157922,35486,False
152104,85745,340847,151481,62058,False
151037,151033,335076,335071,38127,False
150771,150751,334607,334585,24709,False
151033,151032,335071,335072,38127,False
150751,150787,334585,334631,24709,False
150787,150748,334631,334583,24709,False
150836,150807,334708,334662,26310,False
150836,150807,334708,334690,26310,False
151203,22776,335627,29352,52423,False
151203,22776,335627,208980,52423,False
150748,150749,334583,334584,24709,False
11419,11418,14169,207250,50559,True/True/False/False
150807,150808,334662,334661,26310,False
150808,150806,334661,334658,26310,False
150806,150837,334658,334709,26310,False
84890,36791,135935,50932,35486,False
84890,36791,135935,198985,35486,False
150837,150796,334709,334646,26310,False
150837,150796,334709,334660,26310,False
151824,106178,338511,232432,79695,False
150704,150690,334504,334483,23475,False
98371,3241,210257,336420,53794,False
150690,150691,334483,334485,23475,False
150690,150691,334483,334506,23475,False
154080,112683,348539,247584,95432,False
151011,151010,335030,335029,36149,False
151011,151010,335030,335043,36149,False
151151,151149,335395,335378,91883,False
152045,107215,340425,235123,155153,False
86983,8413,169717,10233,36202,False
86983,8413,169717,199395,36202,False
151010,151008,335029,335025,36149,False
151010,151008,335029,335042,36149,True/True/True/False
151010,151008,335029,335047,36149,True/True/True/False
107215,99750,235123,214758,155153,False
151008,151022,335025,335055,36149,False
151022,151007,335055,335016,36149,False
13979,13027,17505,147570,74633,True/True/True/True
151115,151102,335266,335238,60661,False
151115,151102,335266,335258,60661,False
151102,151114,335238,335264,60661,False
151114,151101,335264,335236,60661,False
151101,151100,335236,335235,60661,False
151101,151100,335236,335237,60661,False
99750,2308,214758,2658,155153,False
99750,2308,214758,150989,155153,False
99750,2308,214758,159532,155153,False
99750,2308,214758,173758,155153,False
99750,2308,214758,265884,155153,False
153668,94376,347125,197501,32717,False
153164,91981,345403,190392,23182,False
86495,85801,160921,152180,24732,False
86495,85801,160921,163867,24732,False
86716,86476,164731,160754,37195,False
85801,151949,152180,339032,24732,False
85801,151949,152180,339129,24732,False
85801,151949,152180,340525,24732,False
151949,35268,339032,48593,24732,False
151949,35268,339032,191839,24732,False
37317,86795,51719,166278,37195,True/True/True/True
37317,86795,51719,339732,37195,True/True/True/True
37317,86795,51719,340657,37195,True/True/True/True
35268,86497,48593,160937,24732,False
150413,150412,332827,332793,69869,False
150413,150412,332827,340590,69869,False
150412,86104,332793,155827,69869,True/True/True/True
150412,86104,332793,177253,69869,True/True/True/True
86104,85565,155827,149010,69869,False
154164,39191,349013,54384,73719,False
154164,39191,349013,226866,73719,False
39191,154165,54384,349019,73719,False
154165,154936,349019,351991,73719,False
87364,86042,174469,155172,154496,False
87278,87199,172868,172177,4248,False
86042,87391,155172,175255,154496,False
87199,87007,172177,170057,4248,False
87007,85618,170057,149823,4248,False
85618,151724,149823,337802,4248,False
85618,151724,149823,340615,4248,False
115227,26424,253284,34297,102452,False
115227,26424,253284,152383,102452,False
152503,151955,342514,339104,151400,False
151955,118217,339104,262262,151400,False
151724,34065,337802,46060,4248,False
151724,34065,337802,184301,4248,False
35741,85499,49225,148071,245906,False
35741,85499,49225,153984,245906,False
35741,85499,49225,339177,245906,False
35741,85499,49225,340522,245906,False
153201,92990,345515,193421,26892,False
85898,24913,153390,32350,20736,True/True/True/True
85898,24913,153390,189537,20736,True/True/True/True
85627,24458,149949,31681,51659,True/True/True/True
85627,24458,149949,172804,51659,True/True/True/True
85627,24458,149949,208327,51659,True/True/True/True
152073,86846,340589,167059,411132,False
29749,86498,38684,160976,411931,False
29749,86498,38684,164615,411931,False
29749,86498,38684,169966,411931,False
29749,86498,38684,176449,411931,False
86846,150472,167059,334060,411132,False
150472,86401,334060,159654,411132,False
150472,86401,334060,166754,411132,False
150472,86401,334060,174197,411132,False
151182,151168,335471,335439,95906,False
86401,84703,159654,127357,411132,False
86401,84703,159654,164022,411132,False
150621,150613,334365,334353,16669,False
150613,150593,334353,334329,16669,False
84703,19817,127357,25236,411132,False
84703,19817,127357,303499,411132,False
31398,46888,42470,148628,59714,False
31398,46888,42470,153227,59714,False
31398,46888,42470,337476,59714,False
31398,46888,42470,340508,59714,False
153175,90241,345434,185586,9678,False
32065,85782,43310,151870,172021,True/True/True/True
151970,36343,339435,50322,27131,False
151970,36343,339435,155322,27131,False
151970,36343,339435,158204,27131,False
151970,36343,339435,172015,27131,False
151970,36343,339435,174505,27131,False
151970,36343,339435,193626,27131,False
153167,92616,345407,192262,25509,False
36343,152108,50322,340899,27131,False
85999,14611,154602,18305,79527,True/True/True/True
85999,14611,154602,232267,79527,True/True/True/True
155671,153752,354338,347350,44407,False
153752,96838,347350,205490,44407,False
151906,111265,338792,244154,91944,True/True/True/True
152064,87312,340544,173315,419910,False
87312,87013,173315,170126,419910,False
87312,87013,173315,303463,419910,False
87013,86711,170126,164636,419910,False
153422,151673,346351,337153,33546,False
151673,94428,337153,197654,33546,False
86711,86579,164636,162415,419910,False
86579,4251,162415,5097,419910,False
86579,4251,162415,309428,419910,False
153485,89196,346620,183100,1814,False
155693,100505,354563,217029,61430,False
84615,12621,129046,24489,43741,False
84615,12621,129046,204889,43741,False
90170,9712,185451,11909,9534,False
90170,9712,185451,137929,9534,False
90170,9712,185451,142653,9534,False
90170,9712,185451,333006,9534,False
155327,95180,353126,199748,36595,False
86652,85117,163700,141287,29133,False
86652,85117,163700,164317,29133,False
86652,85117,163700,263781,29133,False
105402,87393,230182,175408,77316,False
87393,151831,175408,338525,77316,False
87393,151831,175408,345486,77316,False
151831,23094,338525,29768,77316,False
151591,93554,336888,195134,28844,False
86660,86707,163907,164575,67573,False
86982,84909,169687,136973,159266,False
110628,20865,242796,27953,90490,False
91361,151577,188862,336798,19045,False
91361,151577,188862,336874,19045,False
91361,151577,188862,346223,19045,False
150428,174897,333040,404155,41401,True/True/True/True
152025,38674,340194,53650,67573,False
152025,38674,340194,221802,67573,False
174897,11089,404155,13723,41401,False
174897,11089,404155,151707,41401,False
174897,11089,404155,154375,41401,False
174897,11089,404155,154654,41401,False
174897,11089,404155,176612,41401,False
174897,11089,404155,202697,41401,False
174897,11089,404155,403417,41401,False
150641,150648,334395,334412,200489,False
150803,150784,334655,334628,16726,False
150803,150784,334655,334649,16726,False
150803,150784,334655,334737,16726,False
150514,150513,334156,334155,14319,False
150784,150602,334628,334342,16726,False
150602,150601,334342,334341,16726,False
150601,150600,334341,334340,16726,False
150513,150492,334155,334119,14319,False
150648,150640,334412,334396,200489,False
150648,150640,334412,334398,200489,True/True/True/False
150502,150501,334135,334134,15118,False
150502,150501,334135,334235,15118,False
150502,150501,334135,334247,15118,False
91894,86944,190135,168954,22310,False
150492,150487,334119,334114,14319,False
150629,150622,334379,334366,200091,True/True/True/True
150629,150622,334379,334377,200091,True/True/True/True
150501,150499,334134,334130,15118,False
150501,150499,334134,334184,15118,False
11024,85829,13647,152541,63423,False
11024,85829,13647,160719,63423,False
11024,85829,13647,162732,63423,False
11024,85829,13647,175904,63423,False
150622,150620,334366,334364,200091,True/True/True/True
150499,150560,334130,334234,15118,False
85829,10414,152541,332748,63423,False
150560,150498,334234,334129,15118,False
94353,85681,197440,150795,32652,False
94353,85681,197440,333011,32652,False
94353,85681,197440,340546,32652,False
25660,25656,33252,176425,22091,True/True/True/True
153816,151651,347699,337088,31632,True/True/True/True
151651,94211,337088,196962,31632,False
